"itemID","typeID","groupID","solarSystemID","constellationID","regionID","orbitID","x","y","z","radius","itemName","security","celestialIndex","orbitIndex"
"50000056","29624","10","30000001","20000001","10000001","","331516354560.0","43597455360.0","-586353991680.0","2473.0","","0.858324068848468","",""
"50000057","29624","10","30000001","20000001","10000001","","-1106114273280.0","-145449984000.0","182777241600.0","2473.0","","0.858324068848468","",""
"50000058","29624","10","30000001","20000001","10000001","","331517583360.0","43610234880.0","-586343669760.0","2473.0","","0.858324068848468","",""
"50000067","29624","10","30000002","20000001","10000001","","1438312980480.0","86747013120.0","-605655982080.0","2473.0","","0.751689146697987","",""
"50000068","29626","10","30000002","20000001","10000001","","-734193623040.0","959674982400.0","-1223116431360.0","7063.0","","0.751689146697987","",""
"50000342","29624","10","30000003","20000001","10000001","","-101092761600.0","5279539200.0","1550503403520.0","2473.0","","0.846292352426726","",""
"50000343","17","10","30000003","20000001","10000001","","-3053212508160.0","-407504855040.0","-3430348431360.0","2323.0","","0.846292352426726","",""
"50000344","17","10","30000003","20000001","10000001","","4173038100480.0","-1823736668160.0","-717770465280.0","2323.0","","0.846292352426726","",""
"50000345","29624","10","30000003","20000001","10000001","","-101104558080.0","5378088960.0","1550485708800.0","2473.0","","0.846292352426726","",""
"50001729","29625","10","30000004","20000001","10000001","","-1202963619840.0","-1825146839040.0","3326434467840.0","13054.0","","0.817000531228727","",""
"50001730","29624","10","30000004","20000001","10000001","","-1451563130880.0","142503567360.0","-3311576064000.0","2473.0","","0.817000531228727","",""
"50001739","29624","10","30000005","20000001","10000001","","-136720834560.0","-10959790080.0","-230393241600.0","2473.0","","0.814336728101234","",""
"50001740","29624","10","30000005","20000001","10000001","","-699212390400.0","-56042250240.0","-226620334080.0","2473.0","","0.814336728101234","",""
"50001741","17","10","30000005","20000001","10000001","","4773697904640.0","-2817020190720.0","3532647997440.0","2323.0","","0.814336728101234","",""
"50001742","29624","10","30000005","20000001","10000001","","4353998069760.0","348877086720.0","4077565255680.0","2473.0","","0.814336728101234","",""
"50002078","17","10","30000006","20000001","10000001","","1266447605760.0","-728162181120.0","2314581811200.0","2323.0","","0.864229153396284","",""
"50002079","29624","10","30000006","20000001","10000001","","-1622192332800.0","186534666240.0","680555765760.0","2473.0","","0.864229153396284","",""
"50002084","29624","10","30000007","20000001","10000001","","-44292464640.0","-5346631680.0","561365114880.0","2473.0","","0.906555510469601","",""
"50002085","29624","10","30000007","20000001","10000001","","281620930560.0","33762631680.0","-206279024640.0","2473.0","","0.906555510469601","",""
"50002086","29624","10","30000007","20000001","10000001","","281614295040.0","33832673280.0","-206299176960.0","2473.0","","0.906555510469601","",""
