"itemID","typeID","groupID","solarSystemID","constellationID","regionID","orbitID","x","y","z","radius","itemName","security","celestialIndex","orbitIndex"
"20000001","4","4","","","10000001","","-9.40465597009913e+16","4.95201531537988e+16","-4.2738731818402e+16","1.43352027114803e+16","San Matar","","",""
"20000002","4","4","","","10000001","","-7.91812708173142e+16","5.97217660235551e+16","-8.57675636213701e+16","1.20007674115552e+16","Anares","","",""
"20000003","4","4","","","10000001","","-6.65448343276821e+16","3.9477217750414e+16","-1.02442842021202e+17","1.34327083640218e+16","Mamouna","","",""
"20000004","4","4","","","10000001","","-7.07428117984546e+16","4.53212032360566e+16","-4.37505045069673e+16","1.08105323137966e+16","Kalangin","","",""
"20000005","4","4","","","10000001","","-7.70595651146762e+16","2.7128553877044e+16","-2.64233605110287e+16","1.19339125050914e+16","Hevaka","","",""
"20000006","4","4","","","10000001","","-6.03362539807169e+16","4.13207172607966e+16","-7.30459516090312e+16","1.0718717045777e+16","Sazdih","","",""
"20000007","4","4","","","10000001","","-8.13872673841422e+16","3.57956293900121e+16","-9.31530360779941e+16","1.41537033116069e+16","Ananah","","",""
"20000008","4","4","","","10000001","","-8.07437950097783e+16","3.82831626560767e+16","-6.48118413801529e+16","7.14633690228339e+15","Mossas","","",""
"20000009","4","4","","","10000001","","-7.0591121348561e+16","6.77961387574723e+16","-5.95870161592701e+16","1.51233112564412e+16","Mekashtad","","",""
"20000010","4","4","","","10000001","","-1.05549987563848e+17","7.13370848581678e+16","-9.24423002196049e+16","1.07460938518356e+16","Bedaleya","","",""
"20000011","4","4","","","10000001","","-1.04177990519565e+17","6.42289775535876e+16","-5.78505820553084e+16","8.1118967520991e+15","Orshed","","",""
"20000012","4","4","","","10000001","","-1.00508080691443e+17","5.29851299377122e+16","-6.78389409487322e+16","9.63171607202572e+15","Oraron","","",""
"20000013","4","4","","","10000001","","-8.53769123419319e+16","7.46275114515598e+16","-9.52039028775598e+16","9.06481940964227e+15","Aguh","","",""
"20000014","4","4","","","10000001","","-6.70254154805933e+16","6.90653437217666e+16","-8.373854660288e+16","1.40132544203757e+16","Mal","","",""
"20000015","4","4","","","10000001","","-9.60220705047765e+16","3.92964967774942e+16","-8.36247622126124e+16","1.06498260705132e+16","Subi","","",""
"20000016","4","4","","","10000001","","-4.91739162817057e+16","3.38362650128478e+16","-4.20570637094093e+16","8.24860516467828e+15","Joas","","",""
"20000017","4","4","","","10000002","","-1.11328382873739e+17","4.71242372313372e+16","1.08042345007325e+17","9.01414189559225e+15","Ruomo","","",""
"20000018","4","4","","","10000002","","-1.15692045321475e+17","7.34900417513184e+16","9.10440319401086e+16","1.31430479412623e+16","Anttanen","","",""
"20000019","4","4","","","10000002","","-1.43645654698282e+17","5.29095802542584e+16","1.09619376865938e+17","1.02478822394306e+16","Ihilakken","","",""
"20000020","4","4","","","10000002","","-1.34996400468185e+17","6.49994526322933e+16","1.03325617317521e+17","1.41436097425689e+16","Kimotoro","","",""
"20000021","4","4","","","10000002","","-9.69307528731262e+16","6.66714780611111e+16","1.01741114599484e+17","1.50136393333636e+16","Okomon","","",""
"20000022","4","4","","","10000002","","-9.05071158718375e+16","8.25506233976725e+16","9.74692138753629e+16","9.2280600805324e+15","Onirvura","","",""
"20000023","4","4","","","10000002","","-7.03224003078539e+16","5.37182552848656e+16","8.82488968571482e+16","1.08226030305903e+16","Ihatalo","","",""
"20000024","4","4","","","10000002","","-7.41878380886085e+16","9.26796841182502e+16","1.19743943763365e+17","9.5844723998095e+15","Okkelen","","",""
"20000025","4","4","","","10000002","","-8.93658547227189e+16","7.80983496889386e+16","1.22815243158493e+17","1.08176551033897e+16","Otsabaira","","",""
"20000026","4","4","","","10000002","","-7.0831513081319e+16","9.28995952787257e+16","9.92141138500443e+16","1.14755199498495e+16","Aulari","","",""
"20000027","4","4","","","10000002","","-9.17947043428966e+16","7.95373380013939e+16","1.36023921368117e+17","6.67992684076437e+15","Etsala","","",""
"20000028","4","4","","","10000002","","-4.9195004630953e+16","3.51545563967551e+16","8.06270311040498e+16","6.91160624911716e+15","Mivora","","",""
"20000029","4","4","","","10000002","","-9.77662679023009e+16","7.14811663236803e+16","1.44452603161759e+17","8.38490498463774e+15","Orpana","","",""
"20000030","4","4","","","10000003","","-6.65131355923445e+16","1.06332596113235e+17","1.65987695889981e+17","9.6537776834787e+15","U29-0S","","",""
"20000031","4","4","","","10000003","","-9.53717709934742e+16","6.86212574155938e+16","1.98066771995089e+17","8.44688994443501e+15","BUG6-X","","",""
"20000032","4","4","","","10000003","","-5.00825986500555e+16","8.73624612950599e+16","1.58787052717738e+17","1.71184482397064e+16","OSJ7-I","","",""
"20000033","4","4","","","10000003","","-9.92337602607694e+16","1.31254717897402e+17","2.09770750685339e+17","1.43606735036462e+16","DMXN-3","","",""
"20000034","4","4","","","10000003","","-7.73074460990396e+16","9.94297711585087e+16","1.91827695753879e+17","1.06682711275973e+16","I89-EP","","",""
