"itemID","typeID","groupID","solarSystemID","constellationID","regionID","orbitID","x","y","z","radius","itemName","security","celestialIndex","orbitIndex"
"30000001","5","5","","20000001","10000001","","-8.85107925999806e+16","4.23694439668789e+16","-4.45135253464797e+16","1323338364984.0","Tanoo","0.858324068848468","",""
"30000002","5","5","","20000001","10000001","","-1.03300968263126e+17","4.17075035682699e+16","-2.98563041297951e+16","1018399993728.0","Lashesih","0.751689146697987","",""
"30000003","5","5","","20000001","10000001","","-9.11741411330753e+16","4.39382274862472e+16","-5.64828243833399e+16","2473362499136.0","Akpivem","0.846292352426726","",""
"30000004","5","5","","20000001","10000001","","-9.36759263521789e+16","5.06042449623289e+16","-2.84035291069217e+16","1771412319698.0","Jark","0.817000531228727","",""
"30000005","5","5","","20000001","10000001","","-9.47821579619976e+16","4.31262473529033e+16","-3.1896707679918e+16","2563946355912.0","Sasta","0.814336728101234","",""
"30000006","5","5","","20000001","10000001","","-8.47921511388562e+16","5.23134557981793e+16","-5.70739345298823e+16","1734441937976.0","Zaid","0.864229153396284","",""
"30000007","5","5","","20000001","10000001","","-9.03675090131102e+16","5.34477009309433e+16","-4.90403990377699e+16","1297306278056.0","Yuzier","0.906555510469601","",""
"30000008","5","5","","20000001","10000001","","-9.15761035363885e+16","5.73328027393277e+16","-5.52550579645263e+16","3716798399124.0","Nirbhi","0.882115714763018","",""
"30000009","5","5","","20000002","10000001","","-8.40947311402152e+16","6.92059288041607e+16","-7.52260521388288e+16","1835829276688.0","Sooma","0.57781948156321","",""
"30000010","5","5","","20000002","10000001","","-8.05888565201208e+16","6.16455572873768e+16","-7.97709316684619e+16","2834263129672.0","Chidah","0.539052013003089","",""
"30000011","5","5","","20000002","10000001","","-6.95754633348552e+16","5.71223254405147e+16","-8.06598352028446e+16","1295576124296.0","Shenela","0.456959354735403","",""
"30000012","5","5","","20000002","10000001","","-8.87870782997732e+16","5.75303545139837e+16","-9.63090751039115e+16","3075451729664.0","Asabona","0.322884272450518","",""
"30000013","5","5","","20000002","10000001","","-8.1778742628362e+16","6.02526936619569e+16","-8.66354266261767e+16","3468485663152.0","Onsooh","0.442816632886763","",""
"30000014","5","5","","20000002","10000001","","-7.77507097384211e+16","7.17225334351103e+16","-8.79220108900039e+16","4388111818136.0","Shamahi","0.355242291075942","",""
"30000015","5","5","","20000002","10000001","","-7.50358854752398e+16","4.7720998612e+16","-9.51724082940452e+16","2835135884784.0","Sendaya","0.293932972095294","",""
"30000016","5","5","","20000002","10000001","","-8.36311552966969e+16","6.37237853971603e+16","-8.98137899485139e+16","1414100419584.0","Nazhgete","0.391497055683935","",""
"30000017","5","5","","20000003","10000001","","-6.40985839685295e+16","4.12719734655652e+16","-1.01139230377519e+17","4132975862416.0","Futzchag","0.172228559767585","",""
"30000018","5","5","","20000003","10000001","","-7.01424246912462e+16","3.84885821531904e+16","-9.67204101069244e+16","2506119728892.0","Kazna","0.231262625040188","",""
"30000019","5","5","","20000003","10000001","","-5.87098578016163e+16","2.60445093863922e+16","-1.01528995159068e+17","2620460967184.0","Podion","0.109704972598651","",""
"30000020","5","5","","20000003","10000001","","-7.28553803199239e+16","5.29099261144358e+16","-1.0816527393548e+17","5267542872992.0","Lilmad","0.1604491933025","",""
"30000021","5","5","","20000003","10000001","","-7.43798108537478e+16","3.25389695310869e+16","-1.00531188490154e+17","5348679154648.0","Kuharah","0.189705283105681","",""
"30000022","5","5","","20000003","10000001","","-6.08394279541966e+16","3.30317909502893e+16","-1.05458726104477e+17","5893956788464.0","Jayneleb","0.113839956995903","",""
"30000023","5","5","","20000004","10000001","","-8.15533441122512e+16","5.04512574116074e+16","-5.11546338809836e+16","2969284249148.0","Fovihi","0.869394349221088","",""
"30000024","5","5","","20000004","10000001","","-7.74790809111428e+16","5.11341797154669e+16","-4.78852334824982e+16","1462680630932.0","Kiereend","0.840834548322929","",""
"30000025","5","5","","20000004","10000001","","-7.41810587708783e+16","5.09987901588997e+16","-4.42919303109199e+16","3044933134604.0","Rashy","0.803265994106465","",""
"30000026","5","5","","20000004","10000001","","-6.6874602332344e+16","4.73055394392106e+16","-4.16044513798551e+16","4739299157720.0","Ordize","0.695564173138387","",""
"30000027","5","5","","20000004","10000001","","-7.21838857853403e+16","4.29844098654126e+16","-4.50812039936184e+16","1980465634544.0","Psasa","0.74991328878682","",""
"30000028","5","5","","20000004","10000001","","-7.1223584228662e+16","5.07527859411889e+16","-4.6482687207261e+16","5016556149184.0","Eshtah","0.768432631428651","",""
"30000029","5","5","","20000004","10000001","","-6.14187009632582e+16","3.95082267566463e+16","-3.63463751329509e+16","887293963556.0","Lachailes","0.573051226792107","",""
"30000030","5","5","","20000004","10000001","","-5.9932279484658e+16","4.32334111971293e+16","-4.15647245053966e+16","1323487276548.0","Kasrasi","0.573075677011312","",""
"30000031","5","5","","20000005","10000001","","-8.09313683913977e+16","2.66124516712007e+16","-2.61741709307935e+16","1283653050240.0","Mohas","0.681783438209048","",""
"30000032","5","5","","20000005","10000001","","-8.78957102276095e+16","3.90624663821354e+16","-2.68005754625334e+16","1793587616000.0","Hasiari","0.798187617055237","",""
"30000033","5","5","","20000005","10000001","","-8.66697094477018e+16","3.02538914921902e+16","-2.31092186396052e+16","3709557046400.0","Radima","0.75391995235005","",""
"30000034","5","5","","20000005","10000001","","-8.06056448031638e+16","3.65895803365393e+16","-2.24090232773571e+16","1917034706800.0","Alkez","0.782122909851242","",""
"30000035","5","5","","20000005","10000001","","-7.89729291083951e+16","2.20216957337664e+16","-3.04376977447003e+16","2348147057528.0","Nimambal","0.594050570256138","",""
"30000036","5","5","","20000005","10000001","","-6.9082798590932e+16","1.51946413719526e+16","-2.87808774009534e+16","3881923473336.0","Yishinoon","0.42471818203938","",""
"30000037","5","5","","20000005","10000001","","-6.6223420001743e+16","1.63260506637112e+16","-2.57304070269525e+16","3975502910314.0","Uplingur","0.422069314931671","",""
"30000038","5","5","","20000006","10000001","","-6.21272775923776e+16","4.8759951230412e+16","-7.70618751587521e+16","857129460388.0","Dooz","0.423728855186249","",""
"30000039","5","5","","20000006","10000001","","-5.97793567658739e+16","3.91231189512903e+16","-7.32242737785755e+16","3294057667732.0","Bayuka","0.400722036484829","",""
"30000040","5","5","","20000006","10000001","","-5.78930842937134e+16","4.58330218799978e+16","-7.48380235690044e+16","2103486848724.0","Uzistoon","0.390645600822198","",""
"30000041","5","5","","20000006","10000001","","-5.95005366386288e+16","3.06020002150195e+16","-7.04504992476015e+16","2110378876364.0","Bairshir","0.36408774701497","",""
"30000042","5","5","","20000006","10000001","","-6.26740591678738e+16","3.37682902063152e+16","-6.42457573257148e+16","4946503351372.0","Moh","0.472835003937131","",""
"30000043","5","5","","20000006","10000001","","-6.27794236677204e+16","5.20394343065736e+16","-8.18461458923476e+16","2426401977928.0","Sari","0.379343121688665","",""
"30000044","5","5","","20000007","10000001","","-8.72757870618377e+16","2.44225023492625e+16","-1.07306739389601e+17","842988087840.0","Faspera","0.12825847580852","",""
"30000045","5","5","","20000007","10000001","","-8.28879537533331e+16","3.22770609137277e+16","-9.96303963204919e+16","3467864000712.0","Jaymass","0.216311339767522","",""
"30000046","5","5","","20000007","10000001","","-7.8639929616778e+16","4.26404601128166e+16","-9.45495718243563e+16","2431497951200.0","Mifrata","0.303802990131855","",""
"30000047","5","5","","20000007","10000001","","-7.33814671362281e+16","3.39740769857685e+16","-8.41248352828522e+16","6331382827616.0","Majamar","0.369186257658592","",""
"30000048","5","5","","20000007","10000001","","-8.48113598184454e+16","4.71687564307616e+16","-8.40600804772256e+16","4679239086184.0","Ihal","0.492701244651463","",""
"30000049","5","5","","20000007","10000001","","-8.93930676320562e+16","4.03234434840503e+16","-1.03505841227187e+17","1602929258280.0","Camal","0.212976884921542","",""
"30000050","5","5","","20000007","10000001","","-7.42992241526389e+16","3.93827458202371e+16","-7.89993327663872e+16","440937055952.0","Fera","0.477246353538886","",""
"30000051","5","5","","20000008","10000001","","-8.16960298037552e+16","4.33124749265828e+16","-7.19581782824363e+16","3664132260188.0","Juddi","0.649136638606088","",""
"30000052","5","5","","20000008","10000001","","-8.42981695227803e+16","4.0933231824812e+16","-5.76655044778695e+16","2318427568856.0","Maspah","0.799900976516899","",""
"30000053","5","5","","20000008","10000001","","-8.50008275831593e+16","4.31331013614651e+16","-6.68611687634074e+16","384225822320.0","Ibaria","0.730978722487679","",""
"30000054","5","5","","20000008","10000001","","-8.50396054269296e+16","3.32538503855706e+16","-5.78339243559806e+16","3471753353664.0","Shala","0.715563758408769","",""
"30000055","5","5","","20000008","10000001","","-7.83530059426233e+16","3.77083035998703e+16","-5.8441885318365e+16","1274973405164.0","Zemalu","0.725158525323317","",""
"30000056","5","5","","20000008","10000001","","-7.64479845926271e+16","4.23233960707872e+16","-7.14953454787194e+16","3281192367384.0","Khankenirdia","0.613595835446554","",""
"30000057","5","5","","20000009","10000001","","-8.57144326050021e+16","6.64851805809432e+16","-6.10247758950023e+16","4598617403668.0","Nikh","0.774198460516647","",""
"30000058","5","5","","20000009","10000001","","-8.15062604088121e+16","7.19420585694519e+16","-6.00772641849292e+16","1359562647344.0","Amphar","0.702186994980565","",""
"30000059","5","5","","20000009","10000001","","-7.84621444958397e+16","7.57217449393156e+16","-5.35018742007935e+16","1976938754072.0","Salashayama","0.665586231399705","",""
"30000060","5","5","","20000009","10000001","","-6.70197231344477e+16","7.51455064775403e+16","-5.67517054350979e+16","2540231166708.0","Janus","0.545570545274901","",""
"30000061","5","5","","20000009","10000001","","-8.55291288051228e+16","6.8585914092815e+16","-6.46907203926126e+16","1443279450256.0","Agha","0.718782620789887","",""
"30000062","5","5","","20000009","10000001","","-6.04263493825866e+16","7.52802170782753e+16","-5.93838021602359e+16","998212186708.0","Iosantin","0.450343350098048","",""
"30000063","5","5","","20000009","10000001","","-5.88313337562485e+16","6.50717915302942e+16","-5.85355414253823e+16","3453450616288.0","Orva","0.509949588827775","",""
"30000064","5","5","","20000009","10000001","","-6.18991129088736e+16","6.33902506916811e+16","-5.77789872380622e+16","3642599907084.0","Zet","0.569697661152562","",""
"30000065","5","5","","20000009","10000001","","-5.54678100921198e+16","7.5041947502068e+16","-6.5667847016388e+16","3093933351904.0","Akhrad","0.358476524759994","",""
"30000066","5","5","","20000009","10000001","","-6.60537053217881e+16","6.00166941527125e+16","-6.08303349138e+16","6884440708384.0","Pirohdim","0.628696090011916","",""
"30000067","5","5","","20000009","10000001","","-6.09415480924069e+16","7.79956778516337e+16","-6.56721581177466e+16","3325006146924.0","Sharir","0.396848687035075","",""
"30000068","5","5","","20000009","10000001","","-8.35118643202341e+16","7.86319578798319e+16","-6.37397620084526e+16","1427242490504.0","Usroh","0.597457508093388","",""
"30000069","5","5","","20000009","10000001","","-6.00382546012184e+16","5.69603196351128e+16","-6.15744045628718e+16","1430630751424.0","Thiarer","0.542032780841138","",""
"30000070","5","5","","20000010","10000001","","-1.02466093278155e+17","6.17391229871266e+16","-9.28053413210599e+16","1950828774872.0","Gomati","0.387421323795231","",""
"30000071","5","5","","20000010","10000001","","-1.03711104103329e+17","7.16360023896705e+16","-8.16962063677692e+16","1333350620600.0","Jangar","0.527328625423247","",""
"30000072","5","5","","20000010","10000001","","-1.15776531141552e+17","8.17769673427023e+16","-9.82266692740087e+16","645474412840.0","Nakah","0.363864338436054","",""
"30000073","5","5","","20000010","10000001","","-9.53234439861444e+16","6.08972023736333e+16","-8.94544015123411e+16","3512344975656.0","Irshah","0.429506645047493","",""
"30000074","5","5","","20000010","10000001","","-1.09124883950156e+17","6.86474735240968e+16","-9.18229839921105e+16","2089420678352.0","Hasateem","0.426496411960909","",""
"30000075","5","5","","20000010","10000001","","-1.15655018402866e+17","7.41121459866317e+16","-1.0318839407144e+17","2681177697144.0","Assah","0.297802198707538","",""
"30000076","5","5","","20000011","10000001","","-9.66661314253909e+16","6.5065656728686e+16","-5.62087714810792e+16","2207969906304.0","Tidacha","0.820099044824579","",""
"30000077","5","5","","20000011","10000001","","-1.00580464528326e+17","6.17117475199744e+16","-5.59837849476677e+16","2530435416980.0","Odlib","0.824516600898814","",""
"30000078","5","5","","20000011","10000001","","-1.07343994369715e+17","6.01532485766348e+16","-5.55595571021433e+16","3484039331156.0","Jofan","0.779548203790202","",""
"30000079","5","5","","20000011","10000001","","-9.60660937674658e+16","6.83047065305403e+16","-6.00428195134436e+16","2009050191076.0","Milu","0.769625317613343","",""
"30000080","5","5","","20000011","10000001","","-1.07977718946196e+17","6.12863666360399e+16","-6.01416070084735e+16","2823739032304.0","Yadi","0.750268475690111","",""
"30000081","5","5","","20000011","10000001","","-1.12289887271664e+17","6.59240249707374e+16","-5.78193725489056e+16","3027305567524.0","Buftiar","0.70874129661025","",""
"30000082","5","5","","20000012","10000001","","-9.9552082879405e+16","4.83862957217659e+16","-6.52665320138424e+16","3472110818984.0","Jarizza","0.765430980328268","",""
"30000083","5","5","","20000012","10000001","","-1.06306688887847e+17","5.97315333767649e+16","-6.55130666984089e+16","794096674264.0","Ejahi","0.728910235177822","",""
"30000084","5","5","","20000012","10000001","","-9.55558314894629e+16","4.33534138656864e+16","-6.14057455879477e+16","994599909008.0","Asghatil","0.794778167987924","",""
"30000085","5","5","","20000012","10000001","","-9.84431071728107e+16","5.41542236889396e+16","-7.42721363095167e+16","3320579548912.0","Bar","0.665838129516353","",""
"30000086","5","5","","20000012","10000001","","-1.0627609183753e+17","5.2625499381688e+16","-7.20854219908485e+16","3141414530152.0","Sucha","0.658264787119109","",""
"30000087","5","5","","20000012","10000001","","-1.01293245585079e+17","6.26168460097379e+16","-6.98048566086591e+16","3110815891780.0","Gelhan","0.701676427641211","",""
